[1-2-2019 20:57:40] ZepperPVP reached 46 CPS, VL=1
[1-2-2019 21:14:37] ebbesendk reached 20 CPS, VL=1
[1-2-2019 21:17:50] ebbesendk reached 31 CPS, VL=1
[1-2-2019 21:18:46] ZepperPVP reached 26 CPS, VL=1
[1-2-2019 21:21:19] ebbesendk reached 19 CPS, VL=1
[1-2-2019 21:21:21] ebbesendk reached 21 CPS, VL=1
[1-2-2019 21:37:04] ZepperPVP reached 293 CPS, VL=1
[1-2-2019 21:43:05] ebbesendk reached 25 CPS, VL=1
[1-2-2019 21:43:05] Oskar0606 reached 51 CPS, VL=1
[1-2-2019 22:18:25] Daniel_Fischer reached 18 CPS, VL=1
[1-2-2019 22:23:57] Emilmeedom reached 18 CPS, VL=1
[1-2-2019 22:27:15] Emilmeedom reached 24 CPS, VL=1
[1-2-2019 22:27:17] Emilmeedom reached 18 CPS, VL=1
[1-2-2019 22:27:19] Emilmeedom reached 19 CPS, VL=1
[1-2-2019 22:58:57] ZepperPVP reached 19 CPS, VL=1
[1-2-2019 22:59:12] ZepperPVP reached 26 CPS, VL=1
[1-2-2019 22:59:16] ZepperPVP reached 62 CPS, VL=1
[1-2-2019 23:00:47] ZepperPVP reached 18 CPS, VL=1
[1-2-2019 23:01:32] ebbesendk reached 18 CPS, VL=1
[1-2-2019 23:01:33] ebbesendk reached 20 CPS, VL=2
[1-2-2019 23:01:34] ebbesendk reached 19 CPS, VL=3
[1-2-2019 23:03:41] ZepperPVP reached 26 CPS, VL=1
[1-2-2019 23:07:19] ZepperPVP reached 23 CPS, VL=1
[1-2-2019 23:09:40] ebbesendk reached 20 CPS, VL=1
[1-2-2019 23:15:25] ZepperPVP reached 22 CPS, VL=1
[1-2-2019 23:17:21] ZepperPVP reached 20 CPS, VL=1
[1-2-2019 23:20:28] ZepperPVP reached 52 CPS, VL=1
[1-2-2019 23:21:22] ZepperPVP reached 20 CPS, VL=1
[1-2-2019 23:22:29] ZepperPVP reached 19 CPS, VL=1
