[17-2-2019 16:45:03] CazzaJ reached 20 CPS, VL=3
[17-2-2019 16:45:04] CazzaJ reached 20 CPS, VL=4
[17-2-2019 16:45:05] CazzaJ reached 19 CPS, VL=1
[17-2-2019 16:45:06] CazzaJ reached 20 CPS, VL=2
[17-2-2019 16:45:07] CazzaJ reached 19 CPS, VL=3
[17-2-2019 16:45:08] CazzaJ reached 19 CPS, VL=4
[17-2-2019 16:45:09] CazzaJ reached 20 CPS, VL=1
[17-2-2019 16:49:47] ZepperPVP reached 38 CPS, VL=1
[17-2-2019 16:55:38] Fanta_Light reached 19 CPS, VL=1
[17-2-2019 16:55:47] Fanta_Light reached 41 CPS, VL=1
[17-2-2019 16:58:35] Fanta_Light reached 28 CPS, VL=1
[17-2-2019 16:58:46] ZepperPVP reached 62 CPS, VL=1
[17-2-2019 17:00:38] Fanta_Light reached 24 CPS, VL=1
[17-2-2019 17:00:46] Fanta_Light reached 26 CPS, VL=1
[17-2-2019 17:26:56] Fanta_Light reached 27 CPS, VL=1
[17-2-2019 18:23:13] RektByKiddo reached 20 CPS, VL=1
[17-2-2019 18:31:55] jonasj2005 reached 24 CPS, VL=1
