[18-11-2018 16:29:58] ZebraDk reached 25 CPS, VL=1
[18-11-2018 16:29:58] fletch4042 reached 18 CPS, VL=1
[18-11-2018 16:30:00] ZebraDk reached 20 CPS, VL=1
[18-11-2018 16:31:23] ZebraDk reached 21 CPS, VL=1
[18-11-2018 16:37:28] fletch4042 reached 18 CPS, VL=1
[18-11-2018 16:41:53] mifaerne reached 18 CPS, VL=1
[18-11-2018 16:44:39] ToxicClouds reached 19 CPS, VL=1
[18-11-2018 16:45:06] ZebraDk reached 20 CPS, VL=1
[18-11-2018 16:45:07] ZebraDk reached 21 CPS, VL=2
[18-11-2018 16:47:30] Itz_LucasLoL_DK reached 38 CPS, VL=1
[18-11-2018 16:48:14] ToxicClouds reached 22 CPS, VL=1
[18-11-2018 16:48:45] ZebraDk reached 18 CPS, VL=1
[18-11-2018 16:48:45] Itz_LucasLoL_DK reached 18 CPS, VL=1
[18-11-2018 16:48:45] fletch4042 reached 18 CPS, VL=1
[18-11-2018 16:52:37] lundgaardsu reached 53 CPS, VL=1
[18-11-2018 16:52:37] FuxiNC reached 19 CPS, VL=1
[18-11-2018 16:52:37] ShinyPraizes reached 62 CPS, VL=1
[18-11-2018 16:52:37] ToxicClouds reached 22 CPS, VL=1
[18-11-2018 16:52:37] fletch4042 reached 26 CPS, VL=1
[18-11-2018 16:52:37] oFazeMC reached 47 CPS, VL=1
[18-11-2018 16:54:22] fletch4042 reached 21 CPS, VL=1
[18-11-2018 16:56:24] Gods2006 reached 25 CPS, VL=1
[18-11-2018 16:56:24] mifaerne reached 18 CPS, VL=1
[18-11-2018 16:56:24] Daniel_Fischer reached 23 CPS, VL=1
[18-11-2018 16:57:43] Gods2006 reached 40 CPS, VL=1
[18-11-2018 16:59:28] Gods2006 reached 19 CPS, VL=1
[18-11-2018 16:59:28] Cr4zyD3rp reached 19 CPS, VL=1
[18-11-2018 17:02:46] biasgaming reached 19 CPS, VL=1
[18-11-2018 17:03:35] ZebraDk reached 18 CPS, VL=1
[18-11-2018 17:04:02] ToxicClouds reached 18 CPS, VL=1
[18-11-2018 17:04:32] GamerMathias10 reached 19 CPS, VL=1
[18-11-2018 17:06:40] ToxicClouds reached 19 CPS, VL=1
[18-11-2018 17:06:48] BlakeIsDolan reached 18 CPS, VL=1
[18-11-2018 17:07:05] ToxicClouds reached 18 CPS, VL=1
[18-11-2018 17:07:53] Leakatrine reached 40 CPS, VL=1
[18-11-2018 17:07:53] MutteDK reached 35 CPS, VL=1
[18-11-2018 17:07:53] NeoPixelHD reached 42 CPS, VL=1
[18-11-2018 17:07:53] ShinyPraizes reached 39 CPS, VL=1
[18-11-2018 17:07:53] biasgaming reached 44 CPS, VL=1
[18-11-2018 17:07:53] Not_Eliaz08 reached 38 CPS, VL=1
[18-11-2018 17:09:09] Cr4zyD3rp reached 22 CPS, VL=1
[18-11-2018 17:09:40] ToxicClouds reached 20 CPS, VL=1
[18-11-2018 17:10:10] ToxicClouds reached 18 CPS, VL=1
[18-11-2018 17:10:40] BlakeIsDolan reached 24 CPS, VL=1
[18-11-2018 17:12:19] BlakeIsDolan reached 37 CPS, VL=1
[18-11-2018 17:12:58] BlakeIsDolan reached 22 CPS, VL=1
[18-11-2018 17:15:19] BlakeIsDolan reached 21 CPS, VL=1
