[21-11-2018 16:41:36] daniel1639 reached 21 CPS, VL=1
[21-11-2018 16:41:36] sorendam1 reached 18 CPS, VL=1
[21-11-2018 16:42:41] daniel1639 reached 18 CPS, VL=1
[21-11-2018 16:43:16] overdosegod reached 40 CPS, VL=1
[21-11-2018 16:43:16] gucci_pro reached 20 CPS, VL=1
[21-11-2018 16:43:16] sorendam1 reached 45 CPS, VL=1
[21-11-2018 16:44:21] 2bi2bi reached 19 CPS, VL=1
[21-11-2018 16:44:21] Itzpandapvpmc reached 24 CPS, VL=1
[21-11-2018 16:44:21] sorendam1 reached 18 CPS, VL=1
[21-11-2018 16:45:24] Itzpandapvpmc reached 24 CPS, VL=1
[21-11-2018 16:48:39] thor_bjoernen reached 34 CPS, VL=1
[21-11-2018 16:48:39] overdosegod reached 20 CPS, VL=1
[21-11-2018 16:49:08] PatrickKopp reached 19 CPS, VL=1
[21-11-2018 16:49:12] MarkEscobar reached 20 CPS, VL=1
[21-11-2018 16:49:12] PatrickKopp reached 23 CPS, VL=2
[21-11-2018 16:49:44] thor_bjoernen reached 21 CPS, VL=1
[21-11-2018 16:49:44] NewMatz_ reached 19 CPS, VL=1
[21-11-2018 16:50:56] thor_bjoernen reached 20 CPS, VL=1
[21-11-2018 16:50:56] Itzpandapvpmc reached 20 CPS, VL=1
[21-11-2018 16:51:05] Itzpandapvpmc reached 18 CPS, VL=1
[21-11-2018 16:51:09] xXGrisXx reached 29 CPS, VL=1
[21-11-2018 16:51:24] xXGrisXx reached 21 CPS, VL=1
[21-11-2018 16:51:24] NewMatz_ reached 18 CPS, VL=1
[21-11-2018 16:51:24] Itzpandapvpmc reached 34 CPS, VL=1
[21-11-2018 16:51:57] Itzpandapvpmc reached 26 CPS, VL=1
[21-11-2018 16:51:57] SandziMC reached 18 CPS, VL=1
[21-11-2018 16:52:29] chokokagen reached 22 CPS, VL=1
[21-11-2018 16:52:29] thor_bjoernen reached 20 CPS, VL=1
[21-11-2018 16:53:06] MarkEscobar reached 20 CPS, VL=1
[21-11-2018 16:53:06] DumDreng reached 21 CPS, VL=1
[21-11-2018 16:53:06] Itzpandapvpmc reached 67 CPS, VL=1
[21-11-2018 16:53:06] OhError reached 20 CPS, VL=1
[21-11-2018 16:53:42] NewMatz_ reached 31 CPS, VL=1
[21-11-2018 16:53:42] Itzpandapvpmc reached 49 CPS, VL=1
[21-11-2018 16:53:42] PatrickKopp reached 61 CPS, VL=1
[21-11-2018 16:53:42] Fru_Freya reached 40 CPS, VL=1
[21-11-2018 16:54:10] Itzpandapvpmc reached 30 CPS, VL=1
[21-11-2018 16:54:26] MarkEscobar reached 25 CPS, VL=1
[21-11-2018 16:54:26] thor_bjoernen reached 25 CPS, VL=1
[21-11-2018 16:54:26] Itzpandapvpmc reached 67 CPS, VL=2
[21-11-2018 16:54:26] Fru_Freya reached 31 CPS, VL=1
[21-11-2018 16:54:26] Tobi2006Rex reached 28 CPS, VL=1
[21-11-2018 16:54:42] chokokagen reached 40 CPS, VL=1
[21-11-2018 16:54:42] thor_bjoernen reached 21 CPS, VL=1
[21-11-2018 16:54:42] andreasplays45 reached 18 CPS, VL=1
[21-11-2018 16:54:42] Itzpandapvpmc reached 91 CPS, VL=1
[21-11-2018 16:54:42] Tobi2006Rex reached 39 CPS, VL=1
