[3-2-2019 09:07:17] Emilmeedom reached 18 CPS, VL=1
[3-2-2019 09:21:27] ebbesendk reached 20 CPS, VL=1
[3-2-2019 09:21:28] ebbesendk reached 18 CPS, VL=2
[3-2-2019 09:24:51] ebbesendk reached 19 CPS, VL=1
[3-2-2019 09:24:52] ebbesendk reached 20 CPS, VL=2
[3-2-2019 09:24:53] ebbesendk reached 19 CPS, VL=3
[3-2-2019 09:30:23] ebbesendk reached 19 CPS, VL=1
[3-2-2019 09:30:24] ebbesendk reached 19 CPS, VL=2
[3-2-2019 09:30:25] ebbesendk reached 20 CPS, VL=3
[3-2-2019 09:30:26] ebbesendk reached 18 CPS, VL=4
[3-2-2019 09:30:27] ebbesendk reached 19 CPS, VL=1
[3-2-2019 09:30:28] ebbesendk reached 19 CPS, VL=2
[3-2-2019 09:30:29] ebbesendk reached 20 CPS, VL=3
[3-2-2019 09:32:54] ebbesendk reached 20 CPS, VL=1
[3-2-2019 09:38:38] ebbesendk reached 19 CPS, VL=1
[3-2-2019 09:39:25] ebbesendk reached 20 CPS, VL=1
[3-2-2019 09:39:26] ebbesendk reached 20 CPS, VL=2
[3-2-2019 09:39:27] ebbesendk reached 18 CPS, VL=3
[3-2-2019 09:39:28] ebbesendk reached 20 CPS, VL=4
[3-2-2019 09:43:29] ebbesendk reached 18 CPS, VL=1
[3-2-2019 09:50:03] Emilmeedom reached 18 CPS, VL=1
[3-2-2019 09:57:35] ebbesendk reached 18 CPS, VL=1
[3-2-2019 09:57:53] ebbesendk reached 20 CPS, VL=1
[3-2-2019 10:07:44] SuperSofia_DK reached 19 CPS, VL=1
[3-2-2019 10:36:44] ebbesendk reached 20 CPS, VL=1
[3-2-2019 10:37:59] ebbesendk reached 21 CPS, VL=1
[3-2-2019 10:40:21] ebbesendk reached 19 CPS, VL=1
[3-2-2019 10:42:55] ebbesendk reached 19 CPS, VL=1
[3-2-2019 10:42:56] ebbesendk reached 18 CPS, VL=2
[3-2-2019 10:46:12] ebbesendk reached 19 CPS, VL=1
[3-2-2019 10:46:13] ebbesendk reached 20 CPS, VL=2
[3-2-2019 10:46:14] ebbesendk reached 20 CPS, VL=3
[3-2-2019 10:46:15] ebbesendk reached 20 CPS, VL=4
[3-2-2019 10:46:16] ebbesendk reached 18 CPS, VL=1
[3-2-2019 10:46:17] ebbesendk reached 19 CPS, VL=2
[3-2-2019 10:46:18] ebbesendk reached 20 CPS, VL=3
[3-2-2019 10:48:05] ebbesendk reached 21 CPS, VL=1
[3-2-2019 10:48:06] ebbesendk reached 19 CPS, VL=2
[3-2-2019 10:48:28] ebbesendk reached 21 CPS, VL=1
[3-2-2019 10:48:29] ebbesendk reached 20 CPS, VL=2
[3-2-2019 10:48:30] ebbesendk reached 21 CPS, VL=3
[3-2-2019 10:48:31] ebbesendk reached 19 CPS, VL=4
[3-2-2019 10:48:32] ebbesendk reached 20 CPS, VL=1
